ID;SKU;Ürün Adı;Kategori;Miktar;Konum;Satış Fiyatı;Alış Fiyatı;Para Birimi;Son Güncelleme
;8680211380058;DESTOYER LAVABO AÇICI 915 GR;SIHHİ TESİSAT;13;Depo;100;60.00;TL;2026-01-15T10:20:32.497Z
;8690496001142;ASYEM FARE ZEHRİ 250 GR;GENEL TEMİZLİK;13;Depo;80;48.00;TL;2026-01-15T10:20:32.499Z
;00001036;DERZ MALASI SARI 11X23;FAYANS, SERAMİK;13;Depo;280;168.00;TL;2026-01-15T10:20:32.499Z
;8699449343094;SERFA OYNAR BAŞLI ZIMPARA;Boya;14;Depo;190;114.00;TL;2026-01-15T10:20:32.499Z
;8695013001926;DEKOR DERZ MALASI 40 CM;FAYANS, SERAMİK;13;Depo;350;210.00;TL;2026-01-15T10:20:32.499Z
;8697433520391;SOMAFİX HIZLI YAPIŞTIRICI SOĞUTUCULU 400 ML;HIRDAVAT;15;Depo;170;102.00;TL;2026-01-15T10:20:32.499Z
;8697433520339;SOMAFİX HIZLI YAPIŞTIRICI SOĞUTUCULU 200 ML;HIRDAVAT;15;Depo;100;60.00;TL;2026-01-15T10:20:32.499Z
;8697433526652;SOMAFİX HIZLI YAPIŞTIRICI SOĞUTUCULU 100 ML;SIHHİ TESİSAT;23;Depo;70;42.00;TL;2026-01-15T10:20:32.499Z
;8697455544221;ASLAN LAVABO GİDER AÇICI SUSTA KILAVUZ 3 MT;SIHHİ TESİSAT;13;Depo;170;102.00;TL;2026-01-15T10:20:32.499Z
;8681999180250;KUPA LAVABO AÇMA SUSTASI KILAVUZ 5 MT;SIHHİ TESİSAT;13;Depo;190;114.00;TL;2026-01-15T10:20:32.499Z
;8680211381277;DESTROYER WC TEMİZLEYİCİ 750 ML;SIHHİ TESİSAT;33;Depo;70;42.00;TL;2026-01-15T10:20:32.499Z
;8697042006316;PRATİX LAVABO GİDER AÇICI 1000 GR;SIHHİ TESİSAT;44;Depo;80;48.00;TL;2026-01-15T10:20:32.499Z
;8684396405001;PLUS PROLINE WC LAVABO GİDER AÇICI 460 GR;SIHHİ TESİSAT;33;Depo;50;30.00;TL;2026-01-15T10:20:32.499Z
;00001035;L GÖNYE 55X70X70;HIRDAVAT;33;Depo;35;21.00;TL;2026-01-15T10:20:32.500Z
;00001034;L GÖNYE 65X90X90;HIRDAVAT;33;Depo;45;27.00;TL;2026-01-15T10:20:32.500Z
;00001033;PERGULE AYAĞI KAMELYA;HIRDAVAT;33;Depo;100;60.00;TL;2026-01-15T10:20:32.500Z
;00001032;DAYSON SİLİKON SİYAH;HIRDAVAT;33;Depo;250;150.00;TL;2026-01-15T10:20:32.500Z
;00001031;DAYSON SİLİKON GRİ;HIRDAVAT;33;Depo;250;150.00;TL;2026-01-15T10:20:32.500Z
;00001030;DAYSON SİLİKON BEYAZ;HIRDAVAT;44;Depo;250;150.00;TL;2026-01-15T10:20:32.500Z
;00001029;DEKOR ŞERİT METRE 10 MT;HIRDAVAT;14;Depo;600;360.00;TL;2026-01-15T10:20:32.500Z
;00001028;DMAX ŞERİT METRE 5 MT;HIRDAVAT;33;Depo;120;72.00;TL;2026-01-15T10:20:32.500Z
;00001027;DMAX ŞERİT METRE 3 MT;HIRDAVAT;22;Depo;75;45.00;TL;2026-01-15T10:20:32.500Z
;00001026;ARJ ŞERİT METRE 10 MT;HIRDAVAT;4;Depo;250;150.00;TL;2026-01-15T10:20:32.500Z
;00001025;ARJ ŞERİT METRE 5 MT;HIRDAVAT;33;Depo;80;48.00;TL;2026-01-15T10:20:32.500Z
;8681190413409;KİNETİKS TORNAVİDA DÜZ 6X35;HIRDAVAT;33;Depo;40;24.00;TL;2026-01-15T10:20:32.500Z
;8681190413331;KİNETİKS TORNAVİDA DÜZ UÇLU 5X125;HIRDAVAT;44;Depo;40;24.00;TL;2026-01-15T10:20:32.500Z
;8681190413294;KİNETİKS TORNAVİDA DÜZ 3X75;HIRDAVAT;44;Depo;40;24.00;TL;2026-01-15T10:20:32.500Z
;8680998237200;CATA KAFA LAMBASI CT 9120;ELEKTRİK;9;Depo;150;90.00;TL;2026-01-15T10:20:32.500Z
;00001024;PVC EMNİYET KİLİDİ ÇEKMELİ;PIMAPEN;44;Depo;60;36.00;TL;2026-01-15T10:20:32.500Z
;8694546525121;PVC EMNİYET KİLİDİ UZUN KABLOLU;PIMAPEN;33;Depo;90;54.00;TL;2026-01-15T10:20:32.500Z
;8681184028206;MASTER PAS ÇÖZÜCÜ YAĞLAYICI 400 ML;HIRDAVAT;33;Depo;130;78.00;TL;2026-01-15T10:20:32.500Z
;8681184028183;MASTER PAS ÇÖZÜCÜ YAĞLAYICI 200 ML;HIRDAVAT;33;Depo;80;48.00;TL;2026-01-15T10:20:32.500Z
;8682315025019;NOAS ŞARJLI AMPUL 7 W;ELEKTRİK;33;Depo;150;90.00;TL;2026-01-15T10:20:32.500Z
;00001023;PVC PENCERE MENTEŞESİ;PIMAPEN;33;Depo;35;21.00;TL;2026-01-15T10:20:32.500Z
;00001022;PVC KAPI MENTEŞESİ;PIMAPEN;33;Depo;40;24.00;TL;2026-01-15T10:20:32.500Z
;00001021;PLASTİK EKO SİLİKON TABANCASI;HIRDAVAT;33;Depo;100;60.00;TL;2026-01-15T10:20:32.500Z
;8681999150048;KUPA METAL GÖVDE SİLİKON TABANCASI;HIRDAVAT;33;Depo;250;150.00;TL;2026-01-15T10:20:32.500Z
